Name,X,Y

Kırklareli,-445,232
Tekirdağ,-461,180
Istanbul,-383,189
Çanakkale,-495,106
Balıkesir,-438,75
Bursa,-362,108
Kocaeli,-310,153
Sakarya,-274,157
Bilecik,-304,99
Kütahya,-339,38
Manisa,-429,-1

Ankara,-165,76
Konya,-172,-61
Isparta,-256,-67
Burdur,-321,-108
Muğla,-435,-146
Antalya,-299,-161
Karaman,-138,-140
Niğde,-33,-72
Aksaray,-88,-41
Nevşehir,-33,-15
Kırşehir,-63,28
İzmir,-564,-6
Aydın,-525,-79
Denizli,-357,-70
Uşak,-354,-15
Afyon,-278,-14
Eskişehir,-251,65
Bolu,-241,125
Edirne,-540,209
Düzce,-231,156
Zonguldak,-195,181
Bartın,-153,210
Karabük,-147,169
Kırıkkale,-97,64
Çankırı,-101,127
Çorum,-40,124
Kastamonu,-91,198
Sinop,-25,213

Giresun,178,142
Gümüşhane,220,115
Erzincan,217,60
Malatya,149,-26
Adıyaman,171,-83
Gaziantep,111,-139
Şanlıurfa,208,-134
Diyarbakır,277,-62
Elazığ,224,-22
Tunceli,230,22
Bayburt,269,101
Trabzon,246,143
Rize,308,162
Artvin,362,178
Ardahan,433,184
Erzurum,349,94
Kars,445,131
Bingöl,313,18
Yozgat,3,65
Kayseri,30,-14
Adana,9,-96
Mersin,-83,-172
Kktc,-92,-272
Hatay,41,-219
Kilis,98,-178
Osmaniye,48,-126
Kahramanmaraş,84,-80
Sivas,106,46
Tokat,59,108
Amasya,15,132
Samsun,34,173
Ordu,113,151
Muş,368,11
Ağrı,450,66
Iğdır,498,96
Batman,350,-72
Bitlis,389,-19
Van,500,-9
Siirt,400,-64
Şırnak,421,-99
Hakkari,517,-86
Mardin,300,-125
Yalova,-383,135
